ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (oz),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Meta: slide_template,Meta: product_image_on_hover,Meta: custom_tab_priority1,Meta: custom_tab_priority2,Meta: header_view,Meta: layout,Meta: product_layout,,
3457,simple,199D5-001M-CC,Singlemode OS2 FC/FC 2.0mm Fiber Optic Jumper Cable (1 Meter),1,0,visible,SM Jumper FC-FC DX 1 Meter,Singlemode OS2 FC/FC 2.0mm Fiber Optic Jumper Cable (1 Meter),,,taxable,,1,100,,0,0,100,5,3,1.5,0,1-2 Week Lead Time,,5.4,"Fiber Optic Jumper Cables, Fiber Optic Jumper Cables > Singlemode Fiber Jumpers",,,http://meg.local/wp-content/uploads/2019/07/fc-fc-sm-550-1-6-3.png,,,,,,,,,0,Glass Type,Singlemode OS2,1,1,Connector Type,FC-FC,1,1,Length (Meters),1,1,1,Fiber Count,Duplex,1,1,,,,,,,,,
3458,simple,199D5-002M-CC,Singlemode OS2 FC/FC 2.0mm Fiber Optic Jumper Cable (2 Meter),1,0,visible,SM Jumper FC-FC DX 2 Meter,Singlemode OS2 FC/FC 2.0mm Fiber Optic Jumper Cable (2 Meter),,,taxable,,1,100,,0,0,100,5,3,1.5,0,1-2 Week Lead Time,,5.8,"Fiber Optic Jumper Cables, Fiber Optic Jumper Cables > Singlemode Fiber Jumpers",,,http://meg.local/wp-content/uploads/2019/07/fc-fc-sm-550-1-6-4.png,,,,,,,,,0,Glass Type,Singlemode OS2,1,1,Connector Type,FC-FC,1,1,Length (Meters),2,1,1,Fiber Count,Duplex,1,1,,,,,,,,,
3459,simple,199D5-003M-CC,Singlemode OS2 FC/FC 2.0mm Fiber Optic Jumper Cable (3 Meter),1,0,visible,SM Jumper FC-FC DX 3 Meter,Singlemode OS2 FC/FC 2.0mm Fiber Optic Jumper Cable (3 Meter),,,taxable,,1,100,,0,0,100,5,3,1.5,0,1-2 Week Lead Time,,6.2,"Fiber Optic Jumper Cables, Fiber Optic Jumper Cables > Singlemode Fiber Jumpers",,,http://meg.local/wp-content/uploads/2019/07/fc-fc-sm-550-1-6-5.png,,,,,,,,,0,Glass Type,Singlemode OS2,1,1,Connector Type,FC-FC,1,1,Length (Meters),3,1,1,Fiber Count,Duplex,1,1,,,,,,,,,
3460,simple,199D5-005M-CC,Singlemode OS2 FC/FC 2.0mm Fiber Optic Jumper Cable (5 Meter),1,0,visible,SM Jumper FC-FC DX 5 Meter,Singlemode OS2 FC/FC 2.0mm Fiber Optic Jumper Cable (5 Meter),,,taxable,,1,100,,0,0,100,5,3,1.5,0,1-2 Week Lead Time,,7,"Fiber Optic Jumper Cables, Fiber Optic Jumper Cables > Singlemode Fiber Jumpers",,,http://meg.local/wp-content/uploads/2019/07/fc-fc-sm-550-1-6-6.png,,,,,,,,,0,Glass Type,Singlemode OS2,1,1,Connector Type,FC-FC,1,1,Length (Meters),5,1,1,Fiber Count,Duplex,1,1,,,,,,,,,
3461,simple,199D5-007M-CC,Singlemode OS2 FC/FC 2.0mm Fiber Optic Jumper Cable (7 Meter),1,0,visible,SM Jumper FC-FC DX 7 Meter,Singlemode OS2 FC/FC 2.0mm Fiber Optic Jumper Cable (7 Meter),,,taxable,,1,100,,0,0,100,5,3,1.5,0,1-2 Week Lead Time,,7.8,"Fiber Optic Jumper Cables, Fiber Optic Jumper Cables > Singlemode Fiber Jumpers",,,http://meg.local/wp-content/uploads/2019/07/fc-fc-sm-550-1-6-7.png,,,,,,,,,0,Glass Type,Singlemode OS2,1,1,Connector Type,FC-FC,1,1,Length (Meters),7,1,1,Fiber Count,Duplex,1,1,,,,,,,,,
3462,simple,199D5-010M-CC,Singlemode OS2 FC/FC 2.0mm Fiber Optic Jumper Cable (10 Meter),1,0,visible,SM Jumper FC-FC DX 10 Meter,Singlemode OS2 FC/FC 2.0mm Fiber Optic Jumper Cable (10 Meter),,,taxable,,1,100,,0,0,100,5,3,1.5,0,1-2 Week Lead Time,,9,"Fiber Optic Jumper Cables, Fiber Optic Jumper Cables > Singlemode Fiber Jumpers",,,http://meg.local/wp-content/uploads/2019/07/fc-fc-sm-550-1-6-8.png,,,,,,,,,0,Glass Type,Singlemode OS2,1,1,Connector Type,FC-FC,1,1,Length (Meters),10,1,1,Fiber Count,Duplex,1,1,,,,,,,,,
3463,simple,199D5-013M-CC,Singlemode OS2 FC/FC 2.0mm Fiber Optic Jumper Cable (13 Meter),1,0,visible,SM Jumper FC-FC DX 13 Meter,Singlemode OS2 FC/FC 2.0mm Fiber Optic Jumper Cable (13 Meter),,,taxable,,1,100,,0,0,100,5,3,1.5,0,1-2 Week Lead Time,,10.2,"Fiber Optic Jumper Cables, Fiber Optic Jumper Cables > Singlemode Fiber Jumpers",,,http://meg.local/wp-content/uploads/2019/07/fc-fc-sm-550-1-6-9.png,,,,,,,,,0,Glass Type,Singlemode OS2,1,1,Connector Type,FC-FC,1,1,Length (Meters),13,1,1,Fiber Count,Duplex,1,1,,,,,,,,,
3464,simple,199D5-015M-CC,Singlemode OS2 FC/FC 2.0mm Fiber Optic Jumper Cable (15 Meter),1,0,visible,SM Jumper FC-FC DX 15 Meter,Singlemode OS2 FC/FC 2.0mm Fiber Optic Jumper Cable (15 Meter),,,taxable,,1,100,,0,0,100,5,3,1.5,0,1-2 Week Lead Time,,11,"Fiber Optic Jumper Cables, Fiber Optic Jumper Cables > Singlemode Fiber Jumpers",,,http://meg.local/wp-content/uploads/2019/07/fc-fc-sm-550-1-6-10.png,,,,,,,,,0,Glass Type,Singlemode OS2,1,1,Connector Type,FC-FC,1,1,Length (Meters),15,1,1,Fiber Count,Duplex,1,1,,,,,,,,,
3465,simple,199D5-017M-CC,Singlemode OS2 FC/FC 2.0mm Fiber Optic Jumper Cable (17 Meter),1,0,visible,SM Jumper FC-FC DX 17 Meter,Singlemode OS2 FC/FC 2.0mm Fiber Optic Jumper Cable (17 Meter),,,taxable,,1,100,,0,0,100,5,3,1.5,0,1-2 Week Lead Time,,11.8,"Fiber Optic Jumper Cables, Fiber Optic Jumper Cables > Singlemode Fiber Jumpers",,,http://meg.local/wp-content/uploads/2019/07/fc-fc-sm-550-1-6-11.png,,,,,,,,,0,Glass Type,Singlemode OS2,1,1,Connector Type,FC-FC,1,1,Length (Meters),17,1,1,Fiber Count,Duplex,1,1,,,,,,,,,
3466,simple,199D5-020M-CC,Singlemode OS2 FC/FC 2.0mm Fiber Optic Jumper Cable (20 Meter),1,0,visible,SM Jumper FC-FC DX 20 Meter,Singlemode OS2 FC/FC 2.0mm Fiber Optic Jumper Cable (20 Meter),,,taxable,,1,100,,0,0,100,5,3,1.5,0,1-2 Week Lead Time,,13,"Fiber Optic Jumper Cables, Fiber Optic Jumper Cables > Singlemode Fiber Jumpers",,,http://meg.local/wp-content/uploads/2019/07/fc-fc-sm-550-1-6-12.png,,,,,,,,,0,Glass Type,Singlemode OS2,1,1,Connector Type,FC-FC,1,1,Length (Meters),20,1,1,Fiber Count,Duplex,1,1,,,,,,,,,
3467,simple,199D5-025M-CC,Singlemode OS2 FC/FC 2.0mm Fiber Optic Jumper Cable (25 Meter),1,0,visible,SM Jumper FC-FC DX 25 Meter,Singlemode OS2 FC/FC 2.0mm Fiber Optic Jumper Cable (25 Meter),,,taxable,,1,100,,0,0,100,5,3,1.5,0,1-2 Week Lead Time,,15,"Fiber Optic Jumper Cables, Fiber Optic Jumper Cables > Singlemode Fiber Jumpers",,,http://meg.local/wp-content/uploads/2019/07/fc-fc-sm-550-1-6-13.png,,,,,,,,,0,Glass Type,Singlemode OS2,1,1,Connector Type,FC-FC,1,1,Length (Meters),25,1,1,Fiber Count,Duplex,1,1,,,,,,,,,
3468,simple,199D5-030M-CC,Singlemode OS2 FC/FC 2.0mm Fiber Optic Jumper Cable (30 Meter),1,0,visible,SM Jumper FC-FC DX 30 Meter,Singlemode OS2 FC/FC 2.0mm Fiber Optic Jumper Cable (30 Meter),,,taxable,,1,100,,0,0,100,5,3,1.5,0,1-2 Week Lead Time,,17,"Fiber Optic Jumper Cables, Fiber Optic Jumper Cables > Singlemode Fiber Jumpers",,,http://meg.local/wp-content/uploads/2019/07/fc-fc-sm-550-1-6-14.png,,,,,,,,,0,Glass Type,Singlemode OS2,1,1,Connector Type,FC-FC,1,1,Length (Meters),30,1,1,Fiber Count,Duplex,1,1,,,,,,,,,
3469,simple,189D5-001M-CC,Singlemode OS2 FC/SC 2.0mm Fiber Optic Jumper Cable (1 Meter),1,0,visible,SM Jumper FC-SC DX 1 Meter,Singlemode OS2 FC/SC 2.0mm Fiber Optic Jumper Cable (1 Meter),,,taxable,,1,100,,0,0,100,5,3,1.5,0,1-2 Week Lead Time,,5.4,"Fiber Optic Jumper Cables, Fiber Optic Jumper Cables > Singlemode Fiber Jumpers",,,http://meg.local/wp-content/uploads/2019/07/fc-fc-sm-550-1-6-15-1.png,,,,,,,,,0,Glass Type,Singlemode OS2,1,1,Connector Type,FC-SC,1,1,Length (Meters),1,1,1,Fiber Count,Duplex,1,1,,,,,,,,,
