ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (g),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 3 default
,simple,1DDS5-001M-ARM,SM LC/LC Simplex Micro Armored Jumper Indoor/Outdoor Riser 001M,1,0,visible,SM LC/LC Simplex Micro Armored Jumper Indoor/Outdoor Riser 001M,1DDS5-001M-ARM,,,,,1,,,0,0,100,4,1,1,0,,,7.5,LC-LC Armored,Grande,,,,,,,,,,,0,,,,,,,,,,,,,
,simple,1DDS5-002M-ARM,SM LC/LC Simplex Micro Armored Jumper Indoor/Outdoor Riser 001M,1,0,visible,SM LC/LC Simplex Micro Armored Jumper Indoor/Outdoor Riser 001M,1DDS5-002M-ARM,,,,,1,,,0,0,100,4,1,1,0,,,7.9,LC-LC Armored,Grande,,,,,,,,,,,0,,,,,,,,,,,,,
,simple,1DDS5-003M-ARM,SM LC/LC Simplex Micro Armored Jumper Indoor/Outdoor Riser 003M,1,0,visible,SM LC/LC Simplex Micro Armored Jumper Indoor/Outdoor Riser 003M,1DDS5-003M-ARM,,,,,1,,,0,0,100,4,1,1,0,,,8.3,LC-LC Armored,Grande,,,,,,,,,,,0,,,,,,,,,,,,,
,simple,1DDS5-005M-ARM,SM LC/LC Simplex Micro Armored Jumper Indoor/Outdoor Riser 005M,1,0,visible,SM LC/LC Simplex Micro Armored Jumper Indoor/Outdoor Riser 005M,1DDS5-005M-ARM,,,,,1,,,0,0,100,4,1,1,0,,,9.5,LC-LC Armored,Grande,,,,,,,,,,,0,,,,,,,,,,,,,
,simple,1DDS5-010M-ARM,SM LC/LC Simplex Micro Armored Jumper Indoor/Outdoor Riser 010M,1,0,visible,SM LC/LC Simplex Micro Armored Jumper Indoor/Outdoor Riser 010M,1DDS5-010M-ARM,,,,,1,,,0,0,100,4,1,1,0,,,11.5,LC-LC Armored,Grande,,,,,,,,,,,0,,,,,,,,,,,,,
,simple,1DDD5-001M-ARM,SM LC/LC Duplex Micro Armored Jumper Indoor/Outdoor Riser 001M,1,0,visible,SM LC/LC Duplex Micro Armored Jumper Indoor/Outdoor Riser 001M,1DDD5-001M-ARM,,,,,1,,,0,0,100,4,1,1,0,,,15,LC-LC Armored,Grande,,,,,,,,,,,0,,,,,,,,,,,,,
,simple,1DDD5-002M-ARM,SM LC/LC Duplex Micro Armored Jumper Indoor/Outdoor Riser 002M,1,0,visible,SM LC/LC Duplex Micro Armored Jumper Indoor/Outdoor Riser 002M,1DDD5-002M-ARM,,,,,1,,,0,0,100,4,1,1,0,,,15.8,LC-LC Armored,Grande,,,,,,,,,,,0,,,,,,,,,,,,,
,simple,1DDD5-003M-ARM,SM LC/LC Duplex Micro Armored Jumper Indoor/Outdoor Riser 003M,1,0,visible,SM LC/LC Duplex Micro Armored Jumper Indoor/Outdoor Riser 003M,1DDD5-003M-ARM,,,,,1,,,0,0,100,4,1,1,0,,,16.6,LC-LC Armored,Grande,,,,,,,,,,,0,,,,,,,,,,,,,
,simple,1DDD5-005M-ARM,SM LC/LC Duplex Micro Armored Jumper Indoor/Outdoor Riser 005M,1,0,visible,SM LC/LC Duplex Micro Armored Jumper Indoor/Outdoor Riser 005M,1DDD5-005M-ARM,,,,,1,,,0,0,100,4,1,1,0,,,19,LC-LC Armored,Grande,,,,,,,,,,,0,,,,,,,,,,,,,
,simple,1DDD5-010M-ARM,SM LC/LC Duplex Micro Armored Jumper Indoor/Outdoor Riser 010M,1,0,visible,SM LC/LC Duplex Micro Armored Jumper Indoor/Outdoor Riser 010M,1DDD5-010M-ARM,,,,,1,,,0,0,100,4,1,1,0,,,23,LC-LC Armored,Grande,,,,,,,,,,,0,,,,,,,,,,,,,
,simple,1AAS5-001M-ARM,SM SC/SC Simplex Micro Armored Jumper Indoor/Outdoor Riser 001M,1,0,visible,SM SC/SC Simplex Micro Armored Jumper Indoor/Outdoor Riser 001M,1AAS5-001M-ARM,,,,,1,,,0,0,100,4,1,1,0,,,7.5,SC-SC Armored,Grande,,,,,,,,,,,0,,,,,,,,,,,,,
,simple,1AAS5-002M-ARM,SM SC/SC Simplex Micro Armored Jumper Indoor/Outdoor Riser 002M,1,0,visible,SM SC/SC Simplex Micro Armored Jumper Indoor/Outdoor Riser 002M,1AAS5-002M-ARM,,,,,1,,,0,0,100,4,1,1,0,,,7.9,SC-SC Armored,Grande,,,,,,,,,,,0,,,,,,,,,,,,,
,simple,1AAS5-003M-ARM,SM SC/SC Simplex Micro Armored Jumper Indoor/Outdoor Riser 003M,1,0,visible,SM SC/SC Simplex Micro Armored Jumper Indoor/Outdoor Riser 003M,1AAS5-003M-ARM,,,,,1,,,0,0,100,4,1,1,0,,,8.3,SC-SC Armored,Grande,,,,,,,,,,,0,,,,,,,,,,,,,
,simple,1AAS5-005M-ARM,SM SC/SC Simplex Micro Armored Jumper Indoor/Outdoor Riser 005M,1,0,visible,SM SC/SC Simplex Micro Armored Jumper Indoor/Outdoor Riser 005M,1AAS5-005M-ARM,,,,,1,,,0,0,100,4,1,1,0,,,9.5,SC-SC Armored,Grande,,,,,,,,,,,0,,,,,,,,,,,,,
,simple,1AAS5-010M-ARM,SM SC/SC Simplex Micro Armored Jumper Indoor/Outdoor Riser 010M,1,0,visible,SM SC/SC Simplex Micro Armored Jumper Indoor/Outdoor Riser 010M,1AAS5-010M-ARM,,,,,1,,,0,0,100,4,1,1,0,,,11.5,SC-SC Armored,Grande,,,,,,,,,,,0,,,,,,,,,,,,,
,simple,1AAD5-001M-ARM,SM SC/SC Duplex Micro Armored Jumper Indoor/Outdoor Riser 001M,1,0,visible,SM SC/SC Duplex Micro Armored Jumper Indoor/Outdoor Riser 001M,1AAD5-001M-ARM,,,,,1,,,0,0,100,4,1,1,0,,,15,SC-SC Armored,Grande,,,,,,,,,,,0,,,,,,,,,,,,,
,simple,1AAD5-002M-ARM,SM SC/SC Duplex Micro Armored Jumper Indoor/Outdoor Riser 002M,1,0,visible,SM SC/SC Duplex Micro Armored Jumper Indoor/Outdoor Riser 002M,1AAD5-002M-ARM,,,,,1,,,0,0,100,4,1,1,0,,,15.8,SC-SC Armored,Grande,,,,,,,,,,,0,,,,,,,,,,,,,
,simple,1AAD5-003M-ARM,SM SC/SC Duplex Micro Armored Jumper Indoor/Outdoor Riser 003M,1,0,visible,SM SC/SC Duplex Micro Armored Jumper Indoor/Outdoor Riser 003M,1AAD5-003M-ARM,,,,,1,,,0,0,100,4,1,1,0,,,16.6,SC-SC Armored,Grande,,,,,,,,,,,0,,,,,,,,,,,,,
,simple,1AAD5-005M-ARM,SM SC/SC Duplex Micro Armored Jumper Indoor/Outdoor Riser 005M,1,0,visible,SM SC/SC Duplex Micro Armored Jumper Indoor/Outdoor Riser 005M,1AAD5-005M-ARM,,,,,1,,,0,0,100,4,1,1,0,,,19,SC-SC Armored,Grande,,,,,,,,,,,0,,,,,,,,,,,,,
,simple,1AAD5-010M-ARM,SM SC/SC Duplex Micro Armored Jumper Indoor/Outdoor Riser 010M,1,0,visible,SM SC/SC Duplex Micro Armored Jumper Indoor/Outdoor Riser 010M,1AAD5-010M-ARM,,,,,1,,,0,0,100,4,1,1,0,,,23,SC-SC Armored,Grande,,,,,,,,,,,0,,,,,,,,,,,,,
,simple,1ADS5-001M-ARM,SM SC/LC Simplex Micro Armored Jumper Indoor/Outdoor Riser 001M,1,0,visible,SM SC/LC Simplex Micro Armored Jumper Indoor/Outdoor Riser 001M,1ADS5-001M-ARM,,,,,1,,,0,0,100,4,1,1,0,,,7.5,SC-LC Armored,Grande,,,,,,,,,,,0,,,,,,,,,,,,,
,simple,1ADS5-002M-ARM,SM SC/LC Simplex Micro Armored Jumper Indoor/Outdoor Riser 002M,1,0,visible,SM SC/LC Simplex Micro Armored Jumper Indoor/Outdoor Riser 002M,1ADS5-002M-ARM,,,,,1,,,0,0,100,4,1,1,0,,,7.9,SC-LC Armored,Grande,,,,,,,,,,,0,,,,,,,,,,,,,
,simple,1ADS5-003M-ARM,SM SC/LC Simplex Micro Armored Jumper Indoor/Outdoor Riser 003M,1,0,visible,SM SC/LC Simplex Micro Armored Jumper Indoor/Outdoor Riser 003M,1ADS5-003M-ARM,,,,,1,,,0,0,100,4,1,1,0,,,8.3,SC-LC Armored,Grande,,,,,,,,,,,0,,,,,,,,,,,,,
,simple,1ADS5-005M-ARM,SM SC/LC Simplex Micro Armored Jumper Indoor/Outdoor Riser 005M,1,0,visible,SM SC/LC Simplex Micro Armored Jumper Indoor/Outdoor Riser 005M,1ADS5-005M-ARM,,,,,1,,,0,0,100,4,1,1,0,,,9.5,SC-LC Armored,Grande,,,,,,,,,,,0,,,,,,,,,,,,,
,simple,1ADS5-010M-ARM,SM SC/LC Simplex Micro Armored Jumper Indoor/Outdoor Riser 010M,1,0,visible,SM SC/LC Simplex Micro Armored Jumper Indoor/Outdoor Riser 010M,1ADS5-010M-ARM,,,,,1,,,0,0,100,4,1,1,0,,,11.5,SC-LC Armored,Grande,,,,,,,,,,,0,,,,,,,,,,,,,
,simple,1ADD5-001M-ARM,SM SC/LC Duplex Micro Armored Jumper Indoor/Outdoor Riser 001M,1,0,visible,SM SC/LC Duplex Micro Armored Jumper Indoor/Outdoor Riser 001M,1ADD5-001M-ARM,,,,,1,,,0,0,100,4,1,1,0,,,15,SC-LC Armored,Grande,,,,,,,,,,,0,,,,,,,,,,,,,
,simple,1ADD5-002M-ARM,SM SC/LC Duplex Micro Armored Jumper Indoor/Outdoor Riser 002M,1,0,visible,SM SC/LC Duplex Micro Armored Jumper Indoor/Outdoor Riser 002M,1ADD5-002M-ARM,,,,,1,,,0,0,100,4,1,1,0,,,15.8,SC-LC Armored,Grande,,,,,,,,,,,0,,,,,,,,,,,,,
,simple,1ADD5-003M-ARM,SM SC/LC Duplex Micro Armored Jumper Indoor/Outdoor Riser 003M,1,0,visible,SM SC/LC Duplex Micro Armored Jumper Indoor/Outdoor Riser 003M,1ADD5-003M-ARM,,,,,1,,,0,0,100,4,1,1,0,,,16.6,SC-LC Armored,Grande,,,,,,,,,,,0,,,,,,,,,,,,,
,simple,1ADD5-005M-ARM,SM SC/LC Duplex Micro Armored Jumper Indoor/Outdoor Riser 005M,1,0,visible,SM SC/LC Duplex Micro Armored Jumper Indoor/Outdoor Riser 005M,1ADD5-005M-ARM,,,,,1,,,0,0,100,4,1,1,0,,,19,SC-LC Armored,Grande,,,,,,,,,,,0,,,,,,,,,,,,,
,simple,1ADD5-010M-ARM,SM SC/LC Duplex Micro Armored Jumper Indoor/Outdoor Riser 010M,1,0,visible,SM SC/LC Duplex Micro Armored Jumper Indoor/Outdoor Riser 010M,1ADD5-010M-ARM,,,,,1,,,0,0,100,4,1,1,0,,,23,SC-LC Armored,Grande,,,,,,,,,,,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
